n,listLength,G,delta,alpha,recall,precision,F value,MAE,备注
200,100,1.6,500,0.1,1.74091%,1.36866%,1.53250%,0,UGT7
200,10,1.6,500,0.1,0.72801%,5.88983%,1.29585%,0,UGT8
200,20,1.6,500,0.1,1.03179%,4.17372%,1.65455%,0,UGT8
200,30,1.6,500,0.1,1.20462%,3.24858%,1.75753%,0,UGT8
200,40,1.6,500,0.1,1.31985%,2.66949%,1.76637%,0,UGT8
200,50,1.6,500,0.1,1.40365%,2.27118%,1.73502%,0,UGT8
200,60,1.6,500,0.1,1.47174%,1.98446%,1.69007%,0,UGT8
200,70,1.6,500,0.1,1.51888%,1.75544%,1.62861%,0,UGT8
200,80,1.6,500,0.1,1.56078%,1.57838%,1.56953%,0,UGT8
200,90,1.6,500,0.1,1.60791%,1.44538%,1.52232%,0,UGT8
200,100,1.6,500,0.1,1.63410%,1.32203%,1.46159%,0,UGT8
200,10,1.6,500,0.1,0.79946%,5.64655%,1.40062%,0,UGT9
200,20,1.6,500,0.1,1.08019%,3.81465%,1.68362%,0,UGT9
200,30,1.6,500,0.1,1.21445%,2.85919%,1.70478%,0,UGT9
200,40,1.6,500,0.1,1.31819%,2.32758%,1.68316%,0,UGT9
200,50,1.6,500,0.1,1.45245%,2.05172%,1.70085%,0,UGT9
200,60,1.6,500,0.1,1.55010%,1.82471%,1.67623%,0,UGT9
200,70,1.6,500,0.1,1.62943%,1.64408%,1.63673%,0,UGT9
200,80,1.6,500,0.1,1.69657%,1.49784%,1.59102%,0,UGT9
200,90,1.6,500,0.1,1.82472%,1.43199%,1.60467%,0,UGT9
200,100,1.6,500,0.1,1.87965%,1.32758%,1.55610%,0,UGT9
200,10,1.6,500,0.1,0.69226%,5.33898%,1.22562%,0,UGT10
200,20,1.6,500,0.1,0.99445%,3.83474%,1.57933%,0,UGT10
200,30,1.6,500,0.1,1.25267%,3.22033%,1.80372%,0,UGT10
200,40,1.6,500,0.1,1.41201%,2.72245%,1.85955%,0,UGT10
200,50,1.6,500,0.1,1.54936%,2.38983%,1.87993%,0,UGT10
200,60,1.6,500,0.1,1.73616%,2.23163%,1.95296%,0,UGT10
200,70,1.6,500,0.1,1.84605%,2.03389%,1.93542%,0,UGT10
200,80,1.6,500,0.1,1.96692%,1.89618%,1.93090%,0,UGT10
200,90,1.6,500,0.1,2.10977%,1.80790%,1.94721%,0,UGT10
200,100,1.6,500,0.1,2.21416%,1.70762%,1.92818%,0,UGT10
